name,model,year,price,color,fuelType,carOrigin,carInsurance,gearType,mirrorType,motorPower,drivenKm,passengers,paymentMethod,saleType,secondHandStatus
هونداي,فيرنا,2002,35000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,350000,5,إمكانية التقسيط ,للبيع أو التبديل ,2
سكودا,اوكتافيا,2014,120000,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,5,إمكانية التقسيط ,للبيع فقط ,1
ايسوزو,4800,2003,60000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,4800,,3,نقدا فقط ,للبيع فقط ,2
هونداي,توسان,2015,89000,أبيضعاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,55000,6,نقدا فقط ,للبيع فقط ,1
سكودا,اوكتافيا,2001,37000,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,400000,5,نقدا فقط ,للبيع أو التبديل ,3
دايو,2000,2000,30000,زيتي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,1600,6,إمكانية التقسيط ,للبيع أو التبديل ,6
هونداي,سانتافيه,2014,143000,بترولي,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2000,35000,7,إمكانية التقسيط ,للبيع فقط ,1
هونداي,سانتافيه,2013,145000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,380000,7,إمكانية التقسيط ,للبيع أو التبديل ,1
فولكسفاجن,جولف,2007,70000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,210000,5,إمكانية التقسيط ,للبيع فقط ,2
هونداي,فيرنا,2009,46499,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,140,6,نقدا فقط ,للبيع فقط ,5
بيجو,بارتنر,2011,62000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,1600,75000,5,إمكانية التقسيط ,للبيع فقط ,2
هونداي,i20,2013,56000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,160,5,إمكانية التقسيط ,للبيع أو التبديل ,1
فولكسفاجن,باسات,1996,23000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1900,,5,إمكانية التقسيط ,للبيع أو التبديل ,4
سيت,ليون,2014,70000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,60000,5,نقدا فقط ,للبيع فقط ,1
سوبارو,عريض,1986,24000,أبيض,بنزين,عمومي,فلسطينية,عادي,يدوي,1600,111111,5,نقدا فقط ,للبيع فقط ,7
تويوتا,كورولا,1993,27500,زيتي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,5,نقدا فقط ,للبيع أو التبديل ,
هونداي,اكسنت,2014,66000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,94000,5,نقدا فقط ,للبيع فقط ,2
هونداي,فيرنا,2008,48000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,90000,5,نقدا فقط ,للبيع فقط ,2
هونداي,توسان,2015,108000,أبيضعاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,20000,6,نقدا فقط ,للبيع فقط ,1
هونداي,اكسنت,2013,64000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80000,5,إمكانية التقسيط ,للبيع أو التبديل ,2
فيات,دوبلو,2009,550000,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,1900,2,,إمكانية التقسيط ,
اوبل,كورسا,2013,68000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,50000,5,نقدا فقط ,للبيع فقط ,1
بيجو,بارتنر,2008,65000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,5,نقدا فقط ,للبيع فقط ,2
سيت,ابيزا,2010,53000,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,140000,5,إمكانية التقسيط ,للبيع فقط ,2
بي,320,2007,92000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,5,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,GTI,2015,155000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,200,200,4,نقدا فقط ,للبيع فقط ,1
هونداي,توسان,2013,90000,فضي,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2000,82000,5,نقدا فقط ,للبيع فقط ,2
تويوتا,تيندرا,1996,8000,كحلي,ديزل,خصوصي,نمرةصفراء,عادي,الكتروني,2500,,5,نقدا فقط ,للبيع فقط ,1
هونداي,ix35,2014,85000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,38000,5,نقدا فقط ,للبيع فقط ,1
اوبل,كورسا,2014,70000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,51000,5,نقدا فقط ,للبيع فقط ,1
سكودا,اوكتافيا,2014,112000,أسودميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,5,نقدا فقط ,للبيع فقط ,1
ايسوزو,تروبر,1998,50000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3100,280000,7,نقدا فقط ,للبيع فقط ,3
فولكسفاجن,كادي,2010,68000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,7,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,GTI,2008,67000,أزرقسماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,115,5,نقدا فقط ,للبيع أو التبديل ,1
بي,523,2005,100000,أزرق,بنزين,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2300,300000,5,إمكانية التقسيط ,للبيع أو التبديل ,3
كيا,سبورتاج,2014,118000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,41000,5,نقدا فقط ,للبيع أو التبديل ,1
فولكسفاجن,كادي,2014,95000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120,7,إمكانية التقسيط ,للبيع أو التبديل ,2
اوبل,استرا,1995,24000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,5,نقدا فقط ,للبيع فقط ,3
سكودا,رابيد,2014,86000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,6000,5,نقدا فقط ,للتبديل فقط ,1
فولكسفاجن,جولف,2006,18500,فضي,بنزين,خصوصي,نمرةصفراء,اوتوماتيك,الكتروني,2000,2000,7,نقدا فقط ,للبيع فقط ,2
ستروين,C-Elysee,2015,60000,أزرق,بنزين,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,1200,20000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
هونداي,اكسنت,2008,37000,رصاصي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,1400,5,نقدا فقط ,للبيع فقط ,
هونداي,اكسنت,2015,68000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,43000,5,نقدا فقط ,للبيع أو التبديل ,1
مرسيدس,S350Long,2006,260000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,274000,5,إمكانية التقسيط ,للبيع أو التبديل ,6
هونداي,i30,2009,58000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120000,5,نقدا فقط ,للبيع فقط ,2
مرسيدس,614,1996,7000,أبيض,ديزل,خصوصي,نمرةصفراء,عادي,يدوي,3000,2000,2,نقدا فقط ,للبيع فقط ,1
فولكسفاجن,بيتل,1974,14000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,5,إمكانية التقسيط ,للبيع أو التبديل ,4
فولكسفاجن,باسات,2011,100000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,1800,7,نقدا فقط ,للبيع أو التبديل ,2
هوندا,سيفيك,2008,61000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,1800,7,نقدا فقط ,للبيع فقط ,2
دراجة,2013,2013,7000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,13700,2,إمكانية التقسيط ,للبيع أو التبديل ,2
رينو,كليو,2011,42000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1150,132,5,نقدا فقط ,للبيع أو التبديل ,3
اوبل,كورسا,2013,54000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,54000,5,إمكانية التقسيط ,للبيع فقط ,2
اوبل,كورسا,2016,69000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,40000,5,نقدا فقط ,للبيع فقط ,1
فولكسفاجن,جولف,2016,112000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,78000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
هونداي,كليك,2008,44000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,72000,5,نقدا فقط ,للبيع فقط ,2
ميتسوبيشي,باجيرو,2007,130000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,120000,7,إمكانية التقسيط ,للبيع أو التبديل ,1
سكودا,اوكتافيا,2012,80000,رصاصي,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,1600,160000,5,نقدا فقط ,للبيع فقط ,1
سكودا,فابيا,2003,35000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,1900,5,نقدا فقط ,للبيع فقط ,
هونداي,الانترا,1999,19000,سكني,بنزين,عمومي,فلسطينية,عادي,الكتروني,1600,12345,5,نقدا فقط ,للبيع فقط ,3
كيا,برايد,2008,46000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,157,5,نقدا فقط ,للبيع فقط ,1
هونداي,اكسنت,2014,85000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,4000,5,إمكانية التقسيط ,للبيع فقط ,1
هونداي,اكسنت,2009,45000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,71000,5,نقدا فقط ,للبيع فقط ,2
اوبل,كورسا,2009,37000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,130000,5,نقدا فقط ,للبيع أو التبديل ,3
سكودا,سوبيرب,2013,120000,أبيضعاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,132000,5,نقدا فقط ,للبيع فقط ,3
هونداي,افانتي,2005,45000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,5,إمكانية التقسيط ,للبيع فقط ,3
بي,740,2007,130000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,4000,180000,5,إمكانية التقسيط ,للبيع أو التبديل ,2
سكودا,فابيا,2016,74500,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,47000,5,نقدا فقط ,للبيع فقط ,1
بي,316,1989,30000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,5,إمكانية التقسيط ,للبيع أو التبديل ,1
هونداي,ix35,2013,105000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,52000,6,نقدا فقط ,للبيع فقط ,2
سكودا,اوكتافيا,2009,64000,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1900,1900,5,نقدا فقط ,للبيع فقط ,3
